company,time,area,location,waste_generated,quality_grade,selling_price
Infosys,30/09/2022,1879,Kolkata,92.0,Q1,243741
Reliance Industries,26/02/2021,1646,Kolkata,110.0,Q3,290853
Reliance Industries,10/09/2021,2994,Mumbai,100.0,Q3,288329
Adani Group,26/11/2021,4569,Kolkata,112.0,Q3,296053
Infosys,11/06/2021,4196,Delhi,72.0,Q2,207039
Tata Group,17/11/2023,4405,Delhi,108.0,Q3,309727
Reliance Industries,09/04/2021,2151,Delhi,82.0,Q1,236889
Tata Group,13/10/2023,2440,Chennai,80.0,Q1,212182
Tata Group,08/01/2021,3253,Delhi,108.0,Q3,310147
Reliance Industries,12/05/2023,3809,Chennai,61.0,Q1,161962
Reliance Industries,21/04/2023,3707,Chennai,64.0,Q1,169343
Adani Group,21/10/2022,4229,Bangalore,87.0,Q2,250666
Tata Group,01/04/2022,1850,Kolkata,67.0,Q2,177237
Tata Group,16/04/2021,4524,Chennai,116.0,Q3,305257
Tata Group,21/04/2023,1906,Delhi,80.0,Q2,229134
Satya Papers,31/03/2023,1052,Bangalore,58.0,Q2,167510
Adani Group,11/02/2022,4204,Kolkata,60.0,Q1,158482
Adani Group,22/10/2021,1317,Delhi,41.0,Q1,118667
Satya Papers,24/02/2023,3318,Chennai,86.0,Q1,226165
Infosys,16/04/2021,4589,Bangalore,72.0,Q1,208451
Tata Group,07/01/2022,3033,Chennai,75.0,Q1,198417
Infosys,15/12/2023,1755,Bangalore,42.0,Q1,120811
Satya Papers,26/11/2021,4478,Bangalore,101.0,Q3,290121
Satya Papers,05/03/2021,3175,Mumbai,88.0,Q2,252222
Satya Papers,10/11/2023,4626,Delhi,86.0,Q2,248256
Infosys,07/04/2023,4522,Chennai,86.0,Q2,228097
Adani Group,16/04/2021,2944,Delhi,79.0,Q1,227472
Satya Papers,19/02/2021,4066,Mumbai,56.0,Q2,160002
Reliance Industries,12/03/2021,4110,Delhi,75.0,Q1,215585
Infosys,22/04/2022,2805,Chennai,72.0,Q2,188822
Adani Group,16/04/2021,4549,Mumbai,121.0,Q3,349639
Tata Group,14/04/2023,3469,Mumbai,54.0,Q2,156824
Reliance Industries,01/01/2021,3146,Bangalore,91.0,Q1,260856
Infosys,03/12/2021,1167,Bangalore,55.0,Q1,158931
Reliance Industries,18/03/2022,1534,Mumbai,40.0,Q1,113776
Adani Group,09/06/2023,3072,Kolkata,125.0,Q3,331277
Tata Group,16/07/2021,1646,Kolkata,69.0,Q2,180899
Tata Group,03/02/2023,3287,Bangalore,88.0,Q2,253061
Tata Group,06/10/2023,1282,Mumbai,91.0,Q1,262292
Adani Group,22/10/2021,3712,Kolkata,87.0,Q2,228539
Adani Group,11/11/2022,4521,Bangalore,109.0,Q3,313887
Tata Group,08/04/2022,1522,Mumbai,91.0,Q2,261208
Adani Group,14/05/2021,2550,Delhi,59.0,Q2,170606
Adani Group,07/05/2021,2883,Chennai,67.0,Q2,177748
Infosys,02/04/2021,1858,Bangalore,49.0,Q1,142198
Adani Group,30/09/2022,2555,Bangalore,66.0,Q2,190239
Tata Group,16/06/2023,4032,Bangalore,106.0,Q3,305400
Satya Papers,10/06/2022,1435,Mumbai,85.0,Q1,245072
Adani Group,04/11/2022,3939,Bangalore,89.0,Q2,256271
Infosys,14/07/2023,2269,Bangalore,63.0,Q2,181638
Satya Papers,23/09/2022,1244,Bangalore,39.0,Q1,110963
Infosys,22/09/2023,4574,Bangalore,72.0,Q1,206132
Satya Papers,10/12/2021,4923,Delhi,115.0,Q3,330878
Adani Group,18/03/2022,4361,Chennai,125.0,Q3,329350
Adani Group,15/04/2022,2092,Delhi,65.0,Q1,187754
Satya Papers,03/02/2023,2305,Chennai,45.0,Q1,117601
Adani Group,10/12/2021,4597,Kolkata,104.0,Q3,273558
Satya Papers,03/06/2022,3071,Chennai,59.0,Q2,155152
Satya Papers,13/01/2023,3666,Chennai,67.0,Q2,175830
Tata Group,02/06/2023,2484,Delhi,42.0,Q1,121997
Tata Group,02/06/2023,2529,Chennai,69.0,Q2,182925
Satya Papers,31/12/2021,1001,Bangalore,61.0,Q1,175617
Satya Papers,24/03/2023,2028,Mumbai,100.0,Q2,286946
Tata Group,14/01/2022,1578,Mumbai,81.0,Q1,233384
Adani Group,08/10/2021,4454,Chennai,54.0,Q1,142990
Satya Papers,17/09/2021,1822,Kolkata,77.0,Q2,202239
Adani Group,12/03/2021,3448,Bangalore,89.0,Q2,256635
Tata Group,28/10/2022,1955,Mumbai,74.0,Q2,211872
Infosys,03/02/2023,4167,Chennai,127.0,Q3,335831
Infosys,29/07/2022,2651,Kolkata,105.0,Q3,277270
Satya Papers,04/11/2022,3949,Chennai,46.0,Q1,121918
Reliance Industries,23/06/2023,3213,Chennai,69.0,Q2,182135
Reliance Industries,19/11/2021,4773,Chennai,122.0,Q3,323285
Infosys,21/07/2023,4198,Kolkata,45.0,Q1,117656
Reliance Industries,30/06/2023,2959,Chennai,64.0,Q1,167948
Satya Papers,11/08/2023,3350,Bangalore,73.0,Q1,211320
Adani Group,20/08/2021,2712,Mumbai,63.0,Q1,181783
Infosys,16/07/2021,4793,Mumbai,83.0,Q1,238079
Infosys,10/09/2021,4016,Chennai,102.0,Q3,269146
Tata Group,04/11/2022,3207,Mumbai,94.0,Q1,272127
Infosys,07/07/2023,3623,Chennai,80.0,Q2,210282
Reliance Industries,28/07/2023,1010,Delhi,62.0,Q1,178856
Tata Group,28/07/2023,3539,Delhi,118.0,Q3,339225
Reliance Industries,13/08/2021,1801,Bangalore,36.0,Q1,102522
Reliance Industries,18/02/2022,3419,Bangalore,94.0,Q1,270124
Infosys,24/06/2022,1167,Bangalore,34.0,Q1,97762
Reliance Industries,02/06/2023,1784,Kolkata,59.0,Q2,157048
Adani Group,19/11/2021,4267,Delhi,70.0,Q1,202138
Infosys,22/10/2021,4975,Bangalore,103.0,Q3,297743
Satya Papers,20/08/2021,3456,Kolkata,103.0,Q3,272731
Adani Group,07/05/2021,4585,Delhi,80.0,Q2,230835
Infosys,25/02/2022,1610,Delhi,51.0,Q2,145640
Satya Papers,25/06/2021,4619,Bangalore,75.0,Q1,214999
Adani Group,02/12/2022,4660,Delhi,71.0,Q1,204624
Infosys,09/06/2023,1174,Mumbai,92.0,Q2,263766
Reliance Industries,13/05/2022,3891,Chennai,77.0,Q1,203951
Adani Group,13/05/2022,2840,Mumbai,95.0,Q2,274912
Reliance Industries,14/04/2023,1011,Mumbai,37.0,Q1,105548
Reliance Industries,04/03/2022,1723,Bangalore,98.0,Q2,283464
Infosys,10/03/2023,3767,Chennai,127.0,Q3,334973
Infosys,03/11/2023,1128,Delhi,45.0,Q1,129358
