,company,area,location,waste_generated,quality_grade
5674,Infosys,-0.6802535106250777,3,-0.84375,1
4587,Infosys,-0.751832981235243,1,-0.3125,2
6907,Reliance Industries,-0.657387846402386,0,-0.59375,2
7134,Tata Group,-0.3134087237479806,2,-0.53125,2
7426,Adani Group,-0.2060395178327327,3,-0.03125,1
3079,Adani Group,-0.8109854604200323,0,-0.75,1
5191,Tata Group,0.43022244314651426,2,0.5625,1
6279,Reliance Industries,-0.45060270908413075,0,0.0625,1
718,Reliance Industries,0.15384615384615385,0,0.28125,1
1954,Adani Group,0.8268920094445135,3,-0.03125,0
1407,Satya Papers,0.46849757673667203,3,-0.5,1
5354,Adani Group,-0.399900584068597,3,0.375,1
6685,Reliance Industries,0.43966695662979993,1,1.03125,0
9654,Infosys,0.13893376413570274,1,0.28125,2
5955,Satya Papers,-0.5674164284826644,2,-1.15625,2
9470,Adani Group,-0.37902323847396546,3,-0.75,1
6593,Satya Papers,0.07282216975270286,4,1.21875,0
6152,Tata Group,0.48340996644712314,1,-0.78125,1
3956,Tata Group,-0.18764757052317635,4,-1.25,2
1576,Infosys,-0.2945196967814092,2,0.625,0
3371,Infosys,-0.5042873120417547,2,-0.59375,1
6537,Adani Group,-0.1667702249285448,1,-0.375,1
6626,Satya Papers,0.7279731576985212,2,0.5625,2
8572,Reliance Industries,0.4565676649683112,2,-0.15625,1
371,Satya Papers,-0.4610413818814465,3,-0.40625,2
1587,Infosys,0.7056045731328445,1,-0.21875,2
6877,Tata Group,-0.10214986951659004,2,-0.96875,2
3054,Adani Group,-0.1896358891512365,3,-0.09375,1
4782,Adani Group,0.37206412327575494,2,-0.125,1
5195,Reliance Industries,-0.5853112961352057,4,0.59375,2
8057,Infosys,-0.5132347458680253,2,-0.71875,1
5666,Reliance Industries,-0.2950167764384243,0,-0.71875,0
854,Adani Group,0.5440536846029577,0,1.1875,0
5529,Tata Group,0.39791226544053687,0,0.1875,1
4640,Reliance Industries,0.4839070461041382,4,0.71875,0
1406,Reliance Industries,0.09916739157449982,2,0.375,1
3216,Infosys,0.43221076177457435,2,0.90625,0
5608,Satya Papers,-0.39791226544053687,0,-1.4375,0
3992,Adani Group,0.806014663849882,3,0.65625,0
383,Satya Papers,-0.06884553249658258,1,-0.15625,1
7989,Satya Papers,0.48241580713309307,2,0.59375,2
2037,Infosys,-0.8984714800546788,2,-0.46875,1
6645,Tata Group,0.6593761650304462,0,0.21875,2
8753,Reliance Industries,-0.21598111097303344,3,-0.625,2
9683,Reliance Industries,-0.9327699763887163,4,-1.5625,2
2183,Infosys,-0.30495836957872496,4,0.5,1
9736,Adani Group,0.6459550142910402,4,-0.65625,1
7457,Adani Group,-0.9138809494221449,2,-0.375,2
6306,Infosys,-0.41829253137815336,0,-1.21875,2
6546,Reliance Industries,0.5868025351062508,3,-0.375,1
9064,Satya Papers,0.3109233254629054,4,0.59375,2
9309,Satya Papers,-0.5465390828880328,4,-0.21875,2
5942,Reliance Industries,0.45358518702622097,3,0.8125,1
1091,Reliance Industries,0.9954020131726109,2,0.625,1
5360,Satya Papers,0.6956629799925438,3,0.15625,2
3324,Adani Group,0.6255747483534236,0,-0.28125,0
3647,Satya Papers,-0.4570647446253262,4,-1.78125,2
8839,Tata Group,0.07083385112464273,4,0.5625,1
4702,Adani Group,-0.4163042127500932,4,-0.625,1
462,Reliance Industries,0.04448862930284578,3,0.28125,2
3720,Reliance Industries,0.9705480303218591,0,-0.09375,2
8455,Infosys,-0.5530011184292283,4,0.0625,1
