,company,selling_price
5674,Infosys,-0.803518744541081
4587,Infosys,-0.24099758456167902
6907,Reliance Industries,-0.7015639180742498
7134,Tata Group,-0.47227651505452517
7426,Adani Group,0.05328189502374185
3079,Adani Group,-0.845670846029321
5191,Tata Group,0.6675941494612918
6279,Reliance Industries,-0.06836060303451887
718,Reliance Industries,0.1399759309679677
1954,Adani Group,0.06128214538719562
1407,Satya Papers,-0.432389064807149
5354,Adani Group,0.48654723191906435
6685,Reliance Industries,0.874246420229367
9654,Infosys,0.14845414792497064
5955,Satya Papers,-1.1086890343652291
9470,Adani Group,-0.6781435549903411
6593,Satya Papers,1.363513509668866
6152,Tata Group,-0.8681580362401099
3956,Tata Group,-1.210757662401953
1576,Infosys,0.7533094919044409
3371,Infosys,-0.5324206447427943
6537,Adani Group,-0.49979373465456955
6626,Satya Papers,0.6926077345236977
8572,Reliance Industries,-0.05641143819578991
371,Satya Papers,-0.332494046755375
1587,Infosys,-0.3278509427037546
6877,Tata Group,-0.907999965859529
3054,Adani Group,-0.000307264238710173
4782,Adani Group,-0.02423973438713587
5195,Reliance Industries,0.7273627339689152
8057,Infosys,-0.644515191087061
5666,Reliance Industries,-0.815684132362606
854,Adani Group,1.0122877245091597
5529,Tata Group,0.06958965998935955
4640,Reliance Industries,0.8471616465949148
1406,Reliance Industries,0.49104239392982424
3216,Infosys,1.0537911570490115
5608,Satya Papers,-1.5017027559895189
3992,Adani Group,0.7729857833388811
383,Satya Papers,-0.27327170978323645
7989,Satya Papers,0.7301508724312852
2037,Infosys,-0.3916822432565457
6645,Tata Group,0.09527467431413217
8753,Reliance Industries,-0.5770194799837264
9683,Reliance Industries,-1.5471209625336781
2183,Infosys,0.6034555846697905
9736,Adani Group,-0.5857935810224502
7457,Adani Group,-0.30509062872522325
6306,Infosys,-1.3118475969375998
6546,Reliance Industries,-0.3013351769187656
9064,Satya Papers,0.7223440847366489
9309,Satya Papers,-0.1505139563400277
5942,Reliance Industries,0.9535661144445488
1091,Reliance Industries,0.7353060835474226
5360,Satya Papers,0.2705063316348449
3324,Adani Group,-0.3881999152178304
3647,Satya Papers,-1.7829178153512628
8839,Tata Group,0.6893643897817571
4702,Adani Group,-0.5704986500288771
462,Reliance Industries,0.39010040143503777
